Team,Accuracy,Datetime
trail,41.2,2026-01-12 10:24:15
trailTime1224,41.2,2026-01-12 10:24:16
traill,41.2,2026-01-12 10:24:17
traillAgain,41.2,2026-01-12 10:24:18
traillAgaintime,41.2,2026-01-12 10:24:19
trail,41.2,2026-01-12 10:28:58
trailTime1224,41.2,2026-01-12 10:28:59
trailTime1228,41.2,2026-01-12 10:29:00
traill,41.2,2026-01-12 10:29:01
traillAgain,41.2,2026-01-12 10:29:02
traillAgaintime,41.2,2026-01-12 10:29:03
trail,41.2,2026-01-12 10:41:30
trailTime1224,41.2,2026-01-12 10:41:31
trailTime1228,41.2,2026-01-12 10:41:32
traill,41.2,2026-01-12 10:41:32
traillAgain,41.2,2026-01-12 10:41:33
traillAgaintime,41.199999999999996,2026-01-12 10:41:34
